TEXT;Age group;Gender;TOPICS
Clean, tidy and large rooms;30 - 60;Male;Space | Cleanliness
The premises have changed, but the quality has not;30 - 60;Female;Quality of goods
More choice of fruits and vegetables;< 30;Female;Range of FV | Range of goods
Good smaller shop in cent;60+;Male;Look and feel | Space
More open cash registers in peak hours, staff at the store;30 - 60;Female;Queues | Staff
It bothers me that there is little space;30 - 60;Male;Arrangement of the store | Space
Transparency and a large selection of products;60+;Female;Clarity | Range of goods
This shop is sufficient for smaller purchases;60+;Female;Range of goods
I like how it is arranged here and the large spaces;60+;Male;Arrangement of the store | Clarity | Space
On ordinary shopping cool and only sometimes missing action items;< 30;Female;Availability of goods | Availability of promo goods
No self-service checkout;60+;Female;Self-checkout
Proximity, easy to park;60+;Female;Parking | Proximity
Good orientation, quite good prices,;30 - 60;Male;Arrangement of the store | Pricing
Good popsicles and cheap ......;60+;Male;Pricing
Nice big shop, cheap goods;30 - 60;Male;Look and feel | Pricing
Nothing here is just expensive;30 - 60;Female;Pricing | Range of goods
I do not recommend due to long queues and sometimes empty unfilled shelves.;30 - 60;Male;Availability of goods | Queues
I like it here, selection of dairy products, quality meat;60+;Female;Quality of meat | Range of goods | Quality of goods
More cash registers or self service;30 - 60;Female;Queues | Self-checkout
In the peak to open more cash registers, I go shopping for bread after 8 am, they have the little one.;30 - 60;Male;Availability of goods | Queues | Availability of bakery
Sometimes I don't get the goods in action anymore.;< 30;Female;Availability of goods | Availability of promo goods
I will buy here what I need overall sufficient selection;60+;Female;Availability of goods | Range of goods
Near;60+;Female;Proximity
There could be a larger variety of large yogurts;30 - 60;Female;Range of goods
I am very pleased with shopping here, goods well arranged.;30 - 60;Male;Look and feel | Clarity
Because I'm not going to make it up;30 - 60;Male;Arrangement of the store | Clarity
Complete the right price tags for products that are in the discount;< 30;Female;Price Tags
High prices, uncomfortable service;< 30;Male;Pricing | Staff
Self-service cash registers could take cash;30 - 60;Male;Self-checkout
Remodel space, more choice;30 - 60;Female;Space | Range of goods
I like the shop here is a large, large selection of goods;< 30;Female;Space | Range of goods
