SENTIMENT;TEXT
Positive;Satisfied, the goods clear, staff helpful.
Negative;Everything wrong, unwillingness of shop assistants, unpleasant staff, poor and small offer of goods, often a lot of things are missing, long waiting at the checkout
Positive;Friendly staff, clarity
Positive;Friendly staff, shop space
Negative;In the neighborhood homeless
Positive;Normal shop, what I need so I usually buy here, good opening hours.
Positive;I have no reservations I am satisfied with everyone
Negative;Replace the fridge, and make more parking
Negative;Prices, cheaper goods, get at least a ruin to prices such as Penny
Negative;Waiting at the box office, occupy more boxes
Negative;I don't like how big queues are made all the time
Positive;I go to the market so I only take the pastry it is good
Positive;It suits me with both the assortment and price
Negative;Goods are not correctly priced
Negative;It's a small, often spoiled meat
Negative;Small selection of goods, large queues
Negative;Tesco and Globus have scanners, they could introduce it here.
Neutral;Great offer of fruits, vegetables, meats, sausages
Positive;Assortment, space, fresh meat
Negative;Remodel the whole store, newer shelves.
Positive;I go here advice and out of habit
Negative;More expensive shop, but near the station
Positive;I can pay with meal vouchers and there are a million
Positive;We are coming here with a neighbor for a bigger purchase we are villages and we do not have a big shop there
Negative;Higher prices, large selection of food
Positive;We are satisfied with the selection of goods.
Positive;After the reconstruction it is much better
Positive;Conversion, store location, modified.
Negative;Expansion of assortment for oriental cuisine
Negative;It got better here, it's smaller and quite expensive here
Positive;It's a good deal, they have a wide assortment
Positive;I like the layout of the store and the staff here.
Negative;No, I got used to how they did it here
Negative;Probably more open cash registers, so it does not delay me
Positive;Large spaces, cheap goods
Negative;Small parking
Negative;There is little space, you push a lot with people and then wait in line
Positive;I have become a customer here so I am satisfied
Positive;Good choice, big enough shop to buy a house on the road
Negative;Queues, I go to events here, high prices
Negative;It had low clearance between shelves.
Negative;More gluten-free foods
Negative;There's not everything in other supermarkets.
Positive;I'll buy everything, distance, bread.
Negative;Few goods, little action. Otherwise I don't know
Negative;More action would want it
Negative;Discounts on various types of clothes, mainly dresses
Positive;It has a good assortment
Positive;Center, there are plenty of nearby shops.
Positive;Good selection of goods, self-service cash desks, take vouchers
Positive;Staff, events, clear
Negative;I just mind the quality of the pastry, sometimes it seems to me unfinished
Neutral;The Roma mind me
Negative;They could get 50% more discounts
Positive;Great choice and good action
Positive;I buy very well here, it's just a big deal
Negative;They have quite a limited selection of goods
Positive;Shop with sufficient assortment close to home
Negative;The pastry is sometimes hard and not evening
Positive;Better choice than before, nice shop assistant.
Positive;Near home
Negative;A larger selection of assortment of healthy nutrition
Positive;Parking is right at the store
Positive;Availability, parking, pharmacy available
Positive;Now after the change it is good here, I prefer smaller shops.
Positive;There are good prices and everything in one place
Positive;Great deal. And there are few people.
Positive;Assortment, staff, clarity
Positive;I got it close and I know the saleswoman.
Positive;I go here often to shop, I am always satisfied, good staff.
Negative;Pastry is missing in the evening
Negative;Wrong price, overlooked in vegetables
Positive;We like to come here with my husband, it's close.
Negative;We usually shop in another store
Positive;Great choice, nice staff, satisfied.
Positive;Clear shop, everything is in the eyes
Neutral;They always have everything fresh, except that they are sometimes unpleasant
Negative;It bothers the quality of fruits and vegetables
Negative;No self-service checkout
Positive;Good quality food and I like long opening hours
Positive;The store is clear and prices low
Positive;It's nice here, good shopping
Negative;Little space, sometimes there are queues
Positive;Large spacious shop with willing saleswomen.
